instance,variant,obj,optimal,time,sol
21,gecode_search,407,False,300,"[[17, 139, 1, 88, 61, 37, 91, 107], [104, 16, 6, 34, 83, 125, 73], [22, 68, 46, 39, 62, 108, 58, 51, 65, 93, 23, 28, 5], [25, 4, 56, 14, 80, 26, 94, 134, 81], [96, 47, 119, 13, 3], [115, 121, 69, 110, 118, 84], [55, 49, 116, 54, 143], [77, 89, 140, 131, 113, 136, 124, 99], [30, 29, 90, 142, 137, 2], [126, 117, 127, 32, 7], [133, 101, 105, 111, 85, 67, 8], [35, 15, 21, 76, 98, 59, 106, 130], [82, 92, 74, 52, 109], [18, 123, 86, 71, 10, 24, 75, 70], [138, 9, 38, 120, 128], [112, 12, 141, 72, 36, 57, 100, 19], [129, 78, 132, 87, 95, 97], [42, 20, 60, 31, 103, 114, 27, 40, 11], [122, 33, 135, 79, 50, 45], [43, 53, 64, 48, 102, 66, 63, 41, 44]]"
3,gecode,12,True,0,"[[5, 4, 2], [6, 3], [7, 1]]"
3,chuffed,12,True,0,"[[5, 6, 3], [2, 4], [1, 7]]"
3,gecode_search,18,False,300,"[[1, 4, 6], [7, 3], [2, 5]]"
4,gecode,220,True,0,"[[8], [7], [6], [5], [4], [3], [9, 2], [10, 1]]"
4,chuffed,220,True,0,"[[8, 9], [2], [3], [5], [4], [6], [7], [10, 1]]"
4,gecode_search,220,True,0,"[[3], [6], [8], [1], [2, 7], [4, 5], [9], [10]]"
5,gecode,206,True,0,"[[2], [1, 3]]"
5,chuffed,206,True,0,"[[2], [1, 3]]"
5,gecode_search,206,True,0,"[[2], [1, 3]]"
6,gecode,322,True,0,"[[6], [5], [4], [3], [7, 2], [8, 1]]"
6,chuffed,322,True,0,"[[5], [2, 1], [7], [6, 3], [8], [4]]"
6,gecode_search,322,True,0,"[[2, 5], [3, 6], [1], [4], [7], [8]]"
7,gecode,183,False,300,"[[12, 2], [13, 4, 14, 7], [11, 5, 9], [10, 16, 3, 8, 6], [15], [17, 1]]"
7,chuffed,167,True,19,"[[15], [5, 9], [11, 1, 3, 17, 16, 6], [7, 14, 10], [2, 13], [8, 4, 12]]"
7,gecode_search,167,True,1,"[[1, 3, 6, 8], [17, 2], [4, 14], [15, 5, 12], [13, 11, 16, 10], [9, 7]]"
8,gecode,186,True,2,"[[10], [9], [8], [1], [3], [6, 5], [4], [7, 2]]"
8,chuffed,186,True,0,"[[6], [2, 1], [10], [8], [4], [7], [9], [3, 5]]"
8,gecode_search,186,True,0,"[[3], [6], [8], [1], [2, 7], [4, 5], [9], [10]]"
9,gecode,436,True,1,"[[10], [9], [8], [7], [6], [5], [4], [11, 3], [12, 2], [13, 1]]"
9,chuffed,436,True,0,"[[12], [5, 3, 2], [10], [8], [11], [13], [6, 7], [9], [4], [1]]"
9,gecode_search,436,True,232,"[[6], [7, 12, 9], [8], [5, 2], [4], [10], [13], [11], [3], [1]]"
